"RESPONSE_CAT","Response","MEASURE","Measure","REGIONTYPE","Geography Level","AEC_FED_2017","Federal Electoral Division","TIME","Year","Value","Flag Codes","Flags"
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","FED","Federal Electoral Division","HUME","Hume","2017","2017",51284,,
"RESPCLR_N","Response clear - No","1","Number (No.)","FED","Federal Electoral Division","HUME","Hume","2017","2017",36271,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","FED","Federal Electoral Division","HUME","Hume","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","FED","Federal Electoral Division","HUME","Hume","2017","2017",78.7,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","FED","Federal Electoral Division","HUME","Hume","2017","2017",0.2,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","FED","Federal Electoral Division","HUME","Hume","2017","2017",21.1,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","FED","Federal Electoral Division","HUME","Hume","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","FED","Federal Electoral Division","HUME","Hume","2017","2017",58.6,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","FED","Federal Electoral Division","HUME","Hume","2017","2017",41.4,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","FED","Federal Electoral Division","HUNT","Hunter","2017","2017",117364,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","FED","Federal Electoral Division","HUNT","Hunter","2017","2017",91860,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","FED","Federal Electoral Division","HUNT","Hunter","2017","2017",251,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","FED","Federal Electoral Division","HUNT","Hunter","2017","2017",25253,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","FED","Federal Electoral Division","HUNT","Hunter","2017","2017",91860,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","FED","Federal Electoral Division","HUNT","Hunter","2017","2017",59137,,
"RESPCLR_N","Response clear - No","1","Number (No.)","FED","Federal Electoral Division","HUNT","Hunter","2017","2017",32723,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","FED","Federal Electoral Division","HUNT","Hunter","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","FED","Federal Electoral Division","HUNT","Hunter","2017","2017",78.3,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","FED","Federal Electoral Division","HUNT","Hunter","2017","2017",0.2,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","FED","Federal Electoral Division","HUNT","Hunter","2017","2017",21.5,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","FED","Federal Electoral Division","HUNT","Hunter","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","FED","Federal Electoral Division","HUNT","Hunter","2017","2017",64.4,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","FED","Federal Electoral Division","HUNT","Hunter","2017","2017",35.6,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","FED","Federal Electoral Division","KSMI","Kingsford Smith","2017","2017",110431,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","FED","Federal Electoral Division","KSMI","Kingsford Smith","2017","2017",87807,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","FED","Federal Electoral Division","KSMI","Kingsford Smith","2017","2017",225,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","FED","Federal Electoral Division","KSMI","Kingsford Smith","2017","2017",22399,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","FED","Federal Electoral Division","KSMI","Kingsford Smith","2017","2017",87807,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","FED","Federal Electoral Division","KSMI","Kingsford Smith","2017","2017",56297,,
"RESPCLR_N","Response clear - No","1","Number (No.)","FED","Federal Electoral Division","KSMI","Kingsford Smith","2017","2017",31510,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","FED","Federal Electoral Division","KSMI","Kingsford Smith","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","FED","Federal Electoral Division","KSMI","Kingsford Smith","2017","2017",79.5,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","FED","Federal Electoral Division","KSMI","Kingsford Smith","2017","2017",0.2,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","FED","Federal Electoral Division","KSMI","Kingsford Smith","2017","2017",20.3,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","FED","Federal Electoral Division","KSMI","Kingsford Smith","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","FED","Federal Electoral Division","KSMI","Kingsford Smith","2017","2017",64.1,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","FED","Federal Electoral Division","KSMI","Kingsford Smith","2017","2017",35.9,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","FED","Federal Electoral Division","LIND","Lindsay","2017","2017",114555,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","FED","Federal Electoral Division","LIND","Lindsay","2017","2017",87366,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","FED","Federal Electoral Division","LIND","Lindsay","2017","2017",234,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","FED","Federal Electoral Division","LIND","Lindsay","2017","2017",26955,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","FED","Federal Electoral Division","LIND","Lindsay","2017","2017",87366,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","FED","Federal Electoral Division","LIND","Lindsay","2017","2017",49071,,
"RESPCLR_N","Response clear - No","1","Number (No.)","FED","Federal Electoral Division","LIND","Lindsay","2017","2017",38295,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","FED","Federal Electoral Division","LIND","Lindsay","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","FED","Federal Electoral Division","LIND","Lindsay","2017","2017",76.3,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","FED","Federal Electoral Division","LIND","Lindsay","2017","2017",0.2,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","FED","Federal Electoral Division","LIND","Lindsay","2017","2017",23.5,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","FED","Federal Electoral Division","LIND","Lindsay","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","FED","Federal Electoral Division","LIND","Lindsay","2017","2017",56.2,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","FED","Federal Electoral Division","LIND","Lindsay","2017","2017",43.8,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","FED","Federal Electoral Division","LYNE","Lyne","2017","2017",114697,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","FED","Federal Electoral Division","LYNE","Lyne","2017","2017",92955,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","FED","Federal Electoral Division","LYNE","Lyne","2017","2017",316,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","FED","Federal Electoral Division","LYNE","Lyne","2017","2017",21426,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","FED","Federal Electoral Division","LYNE","Lyne","2017","2017",92955,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","FED","Federal Electoral Division","LYNE","Lyne","2017","2017",51416,,
"RESPCLR_N","Response clear - No","1","Number (No.)","FED","Federal Electoral Division","LYNE","Lyne","2017","2017",41539,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","FED","Federal Electoral Division","LYNE","Lyne","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","FED","Federal Electoral Division","LYNE","Lyne","2017","2017",81,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","FED","Federal Electoral Division","LYNE","Lyne","2017","2017",0.3,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","FED","Federal Electoral Division","LYNE","Lyne","2017","2017",18.7,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","FED","Federal Electoral Division","LYNE","Lyne","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","FED","Federal Electoral Division","LYNE","Lyne","2017","2017",55.3,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","FED","Federal Electoral Division","LYNE","Lyne","2017","2017",44.7,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","FED","Federal Electoral Division","MACA","Macarthur","2017","2017",110729,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","FED","Federal Electoral Division","MACA","Macarthur","2017","2017",83230,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","FED","Federal Electoral Division","MACA","Macarthur","2017","2017",228,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","FED","Federal Electoral Division","MACA","Macarthur","2017","2017",27271,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","FED","Federal Electoral Division","MACA","Macarthur","2017","2017",83230,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","FED","Federal Electoral Division","MACA","Macarthur","2017","2017",43323,,
"RESPCLR_N","Response clear - No","1","Number (No.)","FED","Federal Electoral Division","MACA","Macarthur","2017","2017",39907,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","FED","Federal Electoral Division","MACA","Macarthur","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","FED","Federal Electoral Division","MACA","Macarthur","2017","2017",75.2,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","FED","Federal Electoral Division","MACA","Macarthur","2017","2017",0.2,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","FED","Federal Electoral Division","MACA","Macarthur","2017","2017",24.6,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","FED","Federal Electoral Division","MACA","Macarthur","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","FED","Federal Electoral Division","MACA","Macarthur","2017","2017",52.1,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","FED","Federal Electoral Division","MACA","Macarthur","2017","2017",47.9,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","FED","Federal Electoral Division","MACK","Mackellar","2017","2017",109388,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","FED","Federal Electoral Division","MACK","Mackellar","2017","2017",91680,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","FED","Federal Electoral Division","MACK","Mackellar","2017","2017",208,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","FED","Federal Electoral Division","MACK","Mackellar","2017","2017",17500,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","FED","Federal Electoral Division","MACK","Mackellar","2017","2017",91680,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","FED","Federal Electoral Division","MACK","Mackellar","2017","2017",62350,,
"RESPCLR_N","Response clear - No","1","Number (No.)","FED","Federal Electoral Division","MACK","Mackellar","2017","2017",29330,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","FED","Federal Electoral Division","MACK","Mackellar","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","FED","Federal Electoral Division","MACK","Mackellar","2017","2017",83.8,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","FED","Federal Electoral Division","MACK","Mackellar","2017","2017",0.2,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","FED","Federal Electoral Division","MACK","Mackellar","2017","2017",16,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","FED","Federal Electoral Division","MACK","Mackellar","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","FED","Federal Electoral Division","MACK","Mackellar","2017","2017",68,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","FED","Federal Electoral Division","MACK","Mackellar","2017","2017",32,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","FED","Federal Electoral Division","MACQ","Macquarie","2017","2017",106683,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","FED","Federal Electoral Division","MACQ","Macquarie","2017","2017",87958,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","FED","Federal Electoral Division","MACQ","Macquarie","2017","2017",235,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","FED","Federal Electoral Division","MACQ","Macquarie","2017","2017",18490,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","FED","Federal Electoral Division","MACQ","Macquarie","2017","2017",87958,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","FED","Federal Electoral Division","MACQ","Macquarie","2017","2017",56180,,
"RESPCLR_N","Response clear - No","1","Number (No.)","FED","Federal Electoral Division","MACQ","Macquarie","2017","2017",31778,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","FED","Federal Electoral Division","MACQ","Macquarie","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","FED","Federal Electoral Division","MACQ","Macquarie","2017","2017",82.4,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","FED","Federal Electoral Division","MACQ","Macquarie","2017","2017",0.2,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","FED","Federal Electoral Division","MACQ","Macquarie","2017","2017",17.3,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","FED","Federal Electoral Division","MACQ","Macquarie","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","FED","Federal Electoral Division","MACQ","Macquarie","2017","2017",63.9,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","FED","Federal Electoral Division","MACQ","Macquarie","2017","2017",36.1,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","FED","Federal Electoral Division","MCMA","McMahon","2017","2017",107076,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","FED","Federal Electoral Division","MCMA","McMahon","2017","2017",83113,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","FED","Federal Electoral Division","MCMA","McMahon","2017","2017",242,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","FED","Federal Electoral Division","MCMA","McMahon","2017","2017",23721,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","FED","Federal Electoral Division","MCMA","McMahon","2017","2017",83113,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","FED","Federal Electoral Division","MCMA","McMahon","2017","2017",29146,,
"RESPCLR_N","Response clear - No","1","Number (No.)","FED","Federal Electoral Division","MCMA","McMahon","2017","2017",53967,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","FED","Federal Electoral Division","MCMA","McMahon","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","FED","Federal Electoral Division","MCMA","McMahon","2017","2017",77.6,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","FED","Federal Electoral Division","MCMA","McMahon","2017","2017",0.2,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","FED","Federal Electoral Division","MCMA","McMahon","2017","2017",22.2,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","FED","Federal Electoral Division","MCMA","McMahon","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","FED","Federal Electoral Division","MCMA","McMahon","2017","2017",35.1,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","FED","Federal Electoral Division","MCMA","McMahon","2017","2017",64.9,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","FED","Federal Electoral Division","MITC","Mitchell","2017","2017",105376,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","FED","Federal Electoral Division","MITC","Mitchell","2017","2017",85764,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","FED","Federal Electoral Division","MITC","Mitchell","2017","2017",176,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","FED","Federal Electoral Division","MITC","Mitchell","2017","2017",19436,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","FED","Federal Electoral Division","MITC","Mitchell","2017","2017",85764,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","FED","Federal Electoral Division","MITC","Mitchell","2017","2017",42112,,
"RESPCLR_N","Response clear - No","1","Number (No.)","FED","Federal Electoral Division","MITC","Mitchell","2017","2017",43652,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","FED","Federal Electoral Division","MITC","Mitchell","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","FED","Federal Electoral Division","MITC","Mitchell","2017","2017",81.4,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","FED","Federal Electoral Division","MITC","Mitchell","2017","2017",0.2,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","FED","Federal Electoral Division","MITC","Mitchell","2017","2017",18.4,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","FED","Federal Electoral Division","MITC","Mitchell","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","FED","Federal Electoral Division","MITC","Mitchell","2017","2017",49.1,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","FED","Federal Electoral Division","MITC","Mitchell","2017","2017",50.9,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","FED","Federal Electoral Division","NENG","New England","2017","2017",110769,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","FED","Federal Electoral Division","NENG","New England","2017","2017",84932,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","FED","Federal Electoral Division","NENG","New England","2017","2017",256,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","FED","Federal Electoral Division","NENG","New England","2017","2017",25581,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","FED","Federal Electoral Division","NENG","New England","2017","2017",84932,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","FED","Federal Electoral Division","NENG","New England","2017","2017",44608,,
"RESPCLR_N","Response clear - No","1","Number (No.)","FED","Federal Electoral Division","NENG","New England","2017","2017",40324,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","FED","Federal Electoral Division","NENG","New England","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","FED","Federal Electoral Division","NENG","New England","2017","2017",76.7,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","FED","Federal Electoral Division","NENG","New England","2017","2017",0.2,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","FED","Federal Electoral Division","NENG","New England","2017","2017",23.1,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","FED","Federal Electoral Division","NENG","New England","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","FED","Federal Electoral Division","NENG","New England","2017","2017",52.5,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","FED","Federal Electoral Division","NENG","New England","2017","2017",47.5,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","FED","Federal Electoral Division","NEWC","Newcastle","2017","2017",115359,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","FED","Federal Electoral Division","NEWC","Newcastle","2017","2017",95157,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","FED","Federal Electoral Division","NEWC","Newcastle","2017","2017",232,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","FED","Federal Electoral Division","NEWC","Newcastle","2017","2017",19970,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","FED","Federal Electoral Division","NEWC","Newcastle","2017","2017",95157,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","FED","Federal Electoral Division","NEWC","Newcastle","2017","2017",71158,,
"RESPCLR_N","Response clear - No","1","Number (No.)","FED","Federal Electoral Division","NEWC","Newcastle","2017","2017",23999,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","FED","Federal Electoral Division","NEWC","Newcastle","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","FED","Federal Electoral Division","NEWC","Newcastle","2017","2017",82.5,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","FED","Federal Electoral Division","NEWC","Newcastle","2017","2017",0.2,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","FED","Federal Electoral Division","NEWC","Newcastle","2017","2017",17.3,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","FED","Federal Electoral Division","NEWC","Newcastle","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","FED","Federal Electoral Division","NEWC","Newcastle","2017","2017",74.8,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","FED","Federal Electoral Division","NEWC","Newcastle","2017","2017",25.2,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","FED","Federal Electoral Division","NSYD","North Sydney","2017","2017",108017,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","FED","Federal Electoral Division","NSYD","North Sydney","2017","2017",90286,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","FED","Federal Electoral Division","NSYD","North Sydney","2017","2017",193,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","FED","Federal Electoral Division","NSYD","North Sydney","2017","2017",17538,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","FED","Federal Electoral Division","NSYD","North Sydney","2017","2017",90286,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","FED","Federal Electoral Division","NSYD","North Sydney","2017","2017",64813,,
"RESPCLR_N","Response clear - No","1","Number (No.)","FED","Federal Electoral Division","NSYD","North Sydney","2017","2017",25473,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","FED","Federal Electoral Division","NSYD","North Sydney","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","FED","Federal Electoral Division","NSYD","North Sydney","2017","2017",83.6,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","FED","Federal Electoral Division","NSYD","North Sydney","2017","2017",0.2,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","FED","Federal Electoral Division","NSYD","North Sydney","2017","2017",16.2,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","FED","Federal Electoral Division","NSYD","North Sydney","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","FED","Federal Electoral Division","NSYD","North Sydney","2017","2017",71.8,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","FED","Federal Electoral Division","NSYD","North Sydney","2017","2017",28.2,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","FED","Federal Electoral Division","PAGE","Page","2017","2017",119606,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","FED","Federal Electoral Division","PAGE","Page","2017","2017",93670,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","FED","Federal Electoral Division","PAGE","Page","2017","2017",291,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","FED","Federal Electoral Division","PAGE","Page","2017","2017",25645,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","FED","Federal Electoral Division","PAGE","Page","2017","2017",93670,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","FED","Federal Electoral Division","PAGE","Page","2017","2017",55943,,
"RESPCLR_N","Response clear - No","1","Number (No.)","FED","Federal Electoral Division","PAGE","Page","2017","2017",37727,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","FED","Federal Electoral Division","PAGE","Page","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","FED","Federal Electoral Division","PAGE","Page","2017","2017",78.3,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","FED","Federal Electoral Division","PAGE","Page","2017","2017",0.2,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","FED","Federal Electoral Division","PAGE","Page","2017","2017",21.4,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","FED","Federal Electoral Division","PAGE","Page","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","FED","Federal Electoral Division","PAGE","Page","2017","2017",59.7,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","FED","Federal Electoral Division","PAGE","Page","2017","2017",40.3,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","FED","Federal Electoral Division","PARK","Parkes","2017","2017",108534,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","FED","Federal Electoral Division","PARK","Parkes","2017","2017",78516,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","FED","Federal Electoral Division","PARK","Parkes","2017","2017",241,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","FED","Federal Electoral Division","PARK","Parkes","2017","2017",29777,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","FED","Federal Electoral Division","PARK","Parkes","2017","2017",78516,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","FED","Federal Electoral Division","PARK","Parkes","2017","2017",41408,,
"RESPCLR_N","Response clear - No","1","Number (No.)","FED","Federal Electoral Division","PARK","Parkes","2017","2017",37108,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","FED","Federal Electoral Division","PARK","Parkes","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","FED","Federal Electoral Division","PARK","Parkes","2017","2017",72.3,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","FED","Federal Electoral Division","PARK","Parkes","2017","2017",0.2,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","FED","Federal Electoral Division","PARK","Parkes","2017","2017",27.4,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","FED","Federal Electoral Division","PARK","Parkes","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","FED","Federal Electoral Division","PARK","Parkes","2017","2017",52.7,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","FED","Federal Electoral Division","PARK","Parkes","2017","2017",47.3,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","FED","Federal Electoral Division","PARR","Parramatta","2017","2017",102291,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","FED","Federal Electoral Division","PARR","Parramatta","2017","2017",76337,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","FED","Federal Electoral Division","PARR","Parramatta","2017","2017",197,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","FED","Federal Electoral Division","PARR","Parramatta","2017","2017",25757,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","FED","Federal Electoral Division","PARR","Parramatta","2017","2017",76337,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","FED","Federal Electoral Division","PARR","Parramatta","2017","2017",29299,,
"RESPCLR_N","Response clear - No","1","Number (No.)","FED","Federal Electoral Division","PARR","Parramatta","2017","2017",47038,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","FED","Federal Electoral Division","PARR","Parramatta","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","FED","Federal Electoral Division","PARR","Parramatta","2017","2017",74.6,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","FED","Federal Electoral Division","PARR","Parramatta","2017","2017",0.2,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","FED","Federal Electoral Division","PARR","Parramatta","2017","2017",25.2,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","FED","Federal Electoral Division","PARR","Parramatta","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","FED","Federal Electoral Division","PARR","Parramatta","2017","2017",38.4,,
